,id,title,release_date,release_year,popularity,vote_average,vote_count,return,budget,revenue,genre_1_name
0,288109,Jean Renoir: Part One - From La Belle Époque to World War II,1993-11-17,1993,0.0,0.0,0.0,0.0,0.0,0.0,Documentary
1,273511,Ghost of Goodnight Lane,2014-06-10,2014,0.459575,4.4,9.0,0.0,0.0,0.0,Horror
2,264525,La dictadura perfecta,2014-10-16,2014,3.631321,7.1,42.0,0.0,0.0,0.0,Drama
3,283701,3 Hearts,2014-09-09,2014,1.77278,5.5,38.0,0.0,0.0,0.0,Romance
4,22485,loudQUIETloud: A Film About the Pixies,2006-04-21,2006,0.95225,6.9,10.0,0.0,0.0,0.0,Documentary
5,40428,8: The Mormon Proposition,2010-01-01,2010,0.252886,5.5,6.0,0.0,0.0,0.0,Documentary
6,117269,Lambada,1990-03-19,1990,0.802118,4.6,5.0,0.0,0.0,0.0,Drama
7,1726,Iron Man,2008-04-30,2008,22.073099,7.4,8951.0,4.179815871428572,140000000.0,585174222.0,Action
8,76406,Tokyo-Ga,1985-04-26,1985,2.306683,6.8,13.0,0.0,0.0,0.0,Documentary
9,8970,The Out-of-Towners,1999-04-02,1999,9.019881,5.1,46.0,0.3866666666666666,75000000.0,29000000.0,Comedy
10,258322,Fasten Your Seatbelts,2014-03-06,2014,2.973264,6.8,52.0,0.0,0.0,5260000.0,Drama
11,224414,Bound by Flesh,2012-10-19,2012,0.790815,6.0,2.0,0.0,0.0,0.0,Documentary
12,48393,Kidnapped,2010-06-17,2010,2.936334,6.2,55.0,0.0,0.0,0.0,Horror
13,31044,My Favorite Year,1982-10-01,1982,2.923672,7.1,35.0,0.0,0.0,0.0,Comedy
14,36628,Lo,2009-07-01,2009,1.550234,6.0,11.0,0.0,0.0,0.0,Comedy
15,28047,Phoenix,1998-09-04,1998,1.643899,5.2,14.0,0.0,0.0,0.0,Drama
16,33138,The Times of Harvey Milk,1984-10-07,1984,2.496262,7.1,26.0,0.0,0.0,0.0,Documentary
17,1361,The Return of the King,1980-05-11,1980,1.800615,5.1,9.0,0.0,0.0,0.0,Animation
