title,genre_1_name,vote_average,vote_count,popularity,release_year
The Farmer's Wife,Drama,10.0,1.0,0.211754,2012
A Place at the Table,Documentary,6.9,7.0,0.501046,2012
Romance,Romance,0.0,0.0,0.052377,2012
Camille Claudel 1915,Drama,7.0,20.0,0.134014,2013
Black Gold,Adventure,5.9,77.0,6.652197,2011
The Scar,Drama,0.0,0.0,0.025665,2013
The Dark Lurking,Action,3.4,16.0,1.484663,2010
Leap Year,Romance,6.5,474.0,7.432311,2010
The Book of Eli,Action,6.6,2207.0,14.39853,2010
Legion,Horror,5.2,643.0,13.795875,2010
Dante's Hell Animated,Animation,8.0,4.0,0.787493,2013
Extraordinary Measures,Drama,6.0,93.0,6.523155,2010
When in Rome,Fantasy,5.7,389.0,10.118113,2010
Edge of Darkness,Crime,6.2,496.0,9.554067,2010
Temple Grandin,Drama,7.7,93.0,4.762242,2010
Valentine's Day,Comedy,5.7,1043.0,7.466721,2010
The Wolfman,Drama,5.5,562.0,9.297209,2010
Shutter Island,Drama,7.8,6559.0,15.813629,2010
Percy Jackson & the Olympians: The Lightning Thief,Adventure,6.0,2079.0,9.785895,2010
Cop Out,Action,5.3,518.0,14.313079,2010
The Ghost Writer,Thriller,6.7,681.0,6.76482,2010
The Spy Next Door,Action,5.5,351.0,6.663422,2010
Fast Lane,Action,4.2,6.0,0.268346,2010
The Crazies,Mystery,6.2,649.0,10.914556,2010
Dear John,Drama,6.6,1302.0,8.371479,2010
Tooth Fairy,Comedy,5.2,500.0,6.74468,2010
My Name Is Khan,Drama,7.7,237.0,11.264586,2010
Alice in Wonderland,Family,6.4,4773.0,17.285093,2010
Green Zone,War,6.4,730.0,11.174041,2010
Greenberg,Comedy,6.0,163.0,8.509231,2010
She's Out of My League,Comedy,5.9,544.0,8.101247,2010
Remember Me,Drama,6.9,980.0,8.307719,2010
Frozen,Thriller,5.9,586.0,10.245682,2010
Survival of the Dead,Horror,4.7,118.0,9.159799,2010
Nine Dead,Crime,5.1,85.0,9.711183,2010
Our Family Wedding,Comedy,5.7,40.0,8.204894,2010
The Bounty Hunter,Action,5.6,878.0,6.715263,2010
Repo Men,Action,6.2,627.0,7.502967,2010
How to Train Your Dragon,Fantasy,7.5,4319.0,14.416681,2010
Clash of the Titans,Adventure,5.6,2280.0,11.972347,2010
Growth,Horror,5.1,27.0,2.660436,2010
Bass Ackwards,Adventure,4.9,5.0,0.772541,2010
Kick-Ass,Action,7.1,4747.0,17.26045,2010
After.Life,Drama,5.4,253.0,9.063797,2010
The Final,Drama,5.6,80.0,4.010976,2010
Peacock,Mystery,5.9,65.0,6.013545,2010
The Runaways,Drama,6.3,262.0,19.42051,2010
Death at a Funeral,Comedy,5.5,248.0,10.863441,2010
Diary of a Wimpy Kid,Comedy,5.9,369.0,12.139919,2010
LEGO: The Adventures of Clutch Powers,Action,5.1,22.0,1.605238,2010
As Good As Dead,Action,4.9,11.0,1.984924,2010
The Losers,Action,6.2,522.0,12.798367,2010
The Last Song,Drama,7.0,959.0,5.541073,2010
Cyrus,Comedy,6.1,135.0,10.42001,2010
Exit Through the Gift Shop,Documentary,7.6,314.0,5.188466,2010
Iron Man 2,Adventure,6.6,6969.0,19.083344,2010
Marmaduke,Family,5.0,150.0,12.285545,2010
MacGruber,Action,5.1,184.0,11.107782,2010
Ca$h,Crime,6.0,73.0,9.107829,2010
A Nightmare on Elm Street,Horror,5.5,771.0,10.40191,2010
Gunless,Drama,6.7,27.0,2.726078,2010
Furry Vengeance,Comedy,4.6,150.0,10.794556,2010
You Don't Know Jack,Drama,6.9,104.0,14.988063,2010
Robin Hood,Action,6.2,1434.0,10.56812,2010
Halo Legends,Action,6.9,25.0,1.731527,2010
Cemetery Junction,Drama,6.6,77.0,8.740728,2010
Blue Valentine,Drama,6.9,911.0,11.107914,2010
Killers,Action,5.7,792.0,6.540621,2010
Death and Cremation,Horror,5.8,4.0,0.967814,2010
Buried,Drama,6.6,853.0,7.389437,2010
Prince of Persia: The Sands of Time,Adventure,6.2,2372.0,18.459955,2010
Please Give,Comedy,6.0,57.0,5.630136,2010
Sex and the City 2,Comedy,5.5,434.0,7.255991,2010
Get Him to the Greek,Comedy,5.9,626.0,7.33335,2010
Unthinkable,Drama,6.7,430.0,6.983803,2010
The Drawn Together Movie: The Movie!,Animation,6.4,39.0,6.088599,2010
The Back-Up Plan,Comedy,5.7,468.0,6.629999,2010
Letters to Juliet,Comedy,6.6,823.0,7.282488,2010
The 41–Year–Old Virgin Who Knocked Up Sarah Marshall and Felt Superbad About It,Comedy,3.2,34.0,6.138381,2010
Jonah Hex,Action,4.5,427.0,9.482806,2010
Toy Story 3,Animation,7.6,4710.0,16.96647,2010
Joan Rivers: A Piece of Work,Documentary,6.7,13.0,0.756406,2010
Winter's Bone,Drama,6.8,575.0,7.27941,2010
Casino Jack and the United States of Money,Documentary,7.3,15.0,0.616048,2010
Shrek Forever After,Comedy,6.0,2021.0,11.803808,2010
The Killer Inside Me,Crime,6.0,175.0,6.324751,2010
